,ic50_weight,deps_weight,combined_weight,scaled_combined_weight
MAP7,0.1415266840134487,0.0036938595414082,0.9353225840717854,0.6448814969620716
EPHA5,-0.0511445373875904,-0.0292815750532801,-0.4900141658281725,-0.3291619409464315
SYDE1,0.0496542065826178,-0.0076920171031393,0.2830730475193549,0.19914866856039795
FAM25BP,0.3268545117712078,0.0224174329933044,2.224249112715797,1.525705223186773
CEP295NL,0.2317432366240041,0.000298806678825,1.4837458422234944,1.0196617556178362
FGFBP1,0.3198915247509871,0.0044076101543379,2.0665039713863482,1.4179057015756984
ERBB3,-0.2427814901611209,-0.0008267486662884,-1.5207827391056665,-1.0335662614508478
PFKP,-0.0184893077110723,-0.0014734782137405,-0.1080869401653669,-0.06816136831574131
SLC12A6,0.0213620073239778,-0.0017541691912703,0.1418678594605003,0.10265218319508534
PAPOLG,0.4624441624857326,0.012694406523247,3.019307760183125,2.0690306221651658
TUBB2BP1,-0.1035717610824117,0.0108874593096677,-0.5674451725712183,-0.38207656902573034
TMEM105,0.2494831405614608,0.0084687150516383,1.647409724171461,1.131506012945263
PLOD3,-0.2570367148210709,-0.0066915213131961,-1.6478742372836648,-1.1204177650151308
SDR9C7,0.0678452122351567,0.0010792270808388,0.45338483602066326,0.3155359573886723
ZNF750,0.0890127933333726,-0.0125095377768234,0.5012577604419513,0.3482512493288529
CST6,-0.1072100688081883,0.0182996077761092,-0.5436070444491635,-0.36578612238500535
CD151,0.4192437673218559,0.0217822085615031,2.8038295719433117,1.921777620176594
HECA,-0.008667849456462,-0.006677418768755,-0.078919578293751,-0.048229041843317014
RAET1L,-0.3052602612805037,-0.0152843252074886,-2.0067646972242263,-1.3656755242482417
CAPN1,-0.0427430093123429,-3.079791693655283e-05,-0.25217676425131674,-0.16662914979275786
ARHGAP8,-0.3827147973150143,-0.0263528698344958,-2.5659362901930516,-1.7478009558940315
LINC01085,0.0198484855045209,-0.004045982254074,0.1178307930593703,0.08622578655847651
TMA16P2,-0.5010013565812004,-0.0139910874025838,-3.2350287546065344,-2.2050438666389662
FLNA,0.4441978788900729,0.00540577524152,2.858011983741414,1.9588046754782285
LINC01111,-0.2389424694607744,0.0069725136586968,-1.4472674794686868,-0.9833275678645316
PKP3,-0.3196094962948646,-0.0090175620420974,-2.057819050791011,-1.4005649341170865
DNAJB3,0.395816540512488,0.0159380522110987,2.618931737078804,1.7954225516316311
HS3ST1,-0.0981046603088946,0.0021407962918402,-0.5881611037237211,-0.39623337568961237
CTGF,-0.0527283447418483,0.0026922003227731,-0.2980505931414602,-0.19797830430330982
SDR16C5,-0.0102534566201419,-0.005127644018159,-0.07914592002693871,-0.04838371875033692
BTBD19,0.0872605655286441,-0.0206911991453363,0.4385086040426542,0.30536987127603865
SNX21,-0.0886430865702301,-0.010519009519725,-0.6083632985583762,-0.4100391063784661
KCNE4,-0.1719538474388617,0.0009738431496283,-1.0620137344829002,-0.7200537259044334
RDH16,0.3112160732346992,0.0211579448667495,2.117510389894065,1.4527623536911676
GRB7,0.4978295311698489,0.0056158676804291,3.1981128245344066,2.1912220268338505
ANKS3,-0.0554637812856032,-0.001997249727432,-0.3449511939037915,-0.2300291318777211
ANO1,0.2627977752903204,0.002874737189781,1.6961786098318548,1.1648335848716522
ARFGAP1,0.0012588320572338,-0.0102378124998737,-0.038705802924892604,-0.020747842039612805
TNNI2,-0.1353717241813231,-0.0032088183344383,-0.8573568414351129,-0.5801957564035901
UGT1A1,-0.1439039898987004,-0.0142498629441567,-0.9809950952496703,-0.6646873895639561
UPK3B,-0.2411560104705244,0.0083785625502142,-1.4523681453141104,-0.9868132494734899
UPK2,0.3430417556747503,0.0094961298048717,2.2448790010857302,1.5398032301264863
GRHL3,-0.0609669845921099,0.0014702655170367,-0.357809975228742,-0.2388165370785956
TNFRSF21,0.169175135329462,0.0086460967784437,1.141250561429372,0.7856080972135607
SCEL,0.3853136611097447,0.0201804208387414,2.579386120763248,1.7683979568662758
TSPAN1,-0.0517747503495762,0.0061210171578999,-0.27036832261091837,-0.17906085622756576
EPHA1,-0.0632606571324133,-0.0074549658689823,-0.4286761530997184,-0.2872449070969272
CD63,0.2977033639472534,0.0079523295135266,1.9487393977512704,1.3374280108297105
TACSTD2,-0.1182222581489327,-0.003549998940862,-0.7511843532379385,-0.5076398390583492
TC2N,-0.3616531324307392,-0.0019040603734322,-2.278461382561278,-1.551346996952935
