,EGFR_IC50_weight,EGFR_dep_weight,combined_weight,scaled_combined_weight
FAM83H,-0.4097195152087233,0.006143014009230139,-0.4035765011994932,-1.1286466552122905
JAM3,0.16269175216497414,-0.025157999104130566,0.1375337530608436,0.39612057679750057
SPRR1B,0.015210428870781847,0.010861030581542377,0.026071459452324225,0.08203661412848583
MMP28,-0.09724048581497219,-0.006501147826303202,-0.1037416336412754,-0.2837571387648527
LY6D,-0.22132681976703603,-0.012679169192638404,-0.23400598895967442,-0.6508224806698587
SOBP,-0.13348794161516828,-0.023912202407015713,-0.157400144022184,-0.4349587426950997
ADAP1,-0.04990428761944178,0.011568644938894718,-0.038335642680547066,-0.09945290315140974
NCLN,0.03744548893306632,0.0028855749916660107,0.040331063924732326,0.12221803273913266
GALNT3,-0.041293995713621634,-0.011681201168437464,-0.052975196882059095,-0.14070496289699602
FOXQ1,0.42233118488253374,0.007635614870261995,0.4299667997527957,1.2201528763926808
TCF21,-0.11217945859931025,0.006995304569486514,-0.10518415402982373,-0.28782194404741224
EVPL,-0.21193857596634996,-0.01475077095820742,-0.2266893469245574,-0.63020528494005
TNFAIP8,0.17289844566836318,0.015551827352455588,0.18845027302081876,0.5395956645299737
RPS20P22,-0.07133893936097968,-0.013280648345601678,-0.08461958770658136,-0.22987409215716495
KRT19,-0.29585042346655593,-0.020573268837845,-0.3164236923044009,-0.883063160657198
PCSK7,-0.11648227475838768,-0.014006637616860152,-0.13048891237524785,-0.35912694341721846
FGFRL1,-0.20327112890604426,-5.1817443933394394e-05,-0.20332294634997766,-0.5643622859474777
SPNS1,0.04535290087274496,-0.013878821192131092,0.03147407968061387,0.09726038456386554
IL18,0.04700317867538799,-0.005286677753122124,0.041716500922265864,0.1261219856197536
HTATIP2,-0.23864143908630245,-0.0015601619668234607,-0.2402016010531259,-0.6682807827958305
ZNF668,-0.08223106262970614,-0.019345193369662957,-0.10157625599936909,-0.2776554305689536
PATJ,0.17576790829268962,-0.007746976207491064,0.16802093208519855,0.4820288574237768
PERP,-0.5291241344841584,0.016562389982951578,-0.5125617445012068,-1.4357506630382393
PLEK2,-0.08539802826927895,0.024816569854703666,-0.06058145841457528,-0.1621382627680744
FAM50A,0.1959112631203521,-0.003829973749607745,0.19208128937074434,0.5498273219522236
YWHABP2,-0.06366555838633643,-0.011368193952422693,-0.07503375233875913,-0.20286265124430472
DAPP1,0.08922596344123357,0.0006428409894842085,0.08986880443071778,0.26180792754639387
DSP,0.1295106787413483,-0.0009112781016594939,0.1285994006396888,0.3709449167471737
GRIN2B,-0.22621445675584556,-0.003803185720253297,-0.23001764247609885,-0.6395839207272639
PI3,-0.1546794279327302,0.009264915807233902,-0.1454145121254963,-0.4011850364548032
AGR2,-0.14579674796703626,0.013244537975770035,-0.1325522099912662,-0.36494100546837877
HMGB1P21,-0.019174488021211133,0.0067006014851437555,-0.012473886536067378,-0.02657836784024082
ZNF385C,0.06878365915559093,-0.008794760267506974,0.05998889888808395,0.17761085216619563
SLC52A3,0.02675403597094289,0.004862061754980782,0.03161609772592367,0.09766057003464074
ZNF804A,0.007463014653797145,0.006882035005499707,0.014345049659296852,0.048993356750250155
GLIS3,-0.12064662225222897,-0.0012748475113377542,-0.12192146976356673,-0.33498517997148125
SYT11,0.17360466322422868,-0.001087147511343585,0.1725175157128851,0.4946995531230483
ACE2,-0.027947620935827144,0.011175774650209917,-0.016771846285617228,-0.03868937135387537
IQANK1,0.7497601006609708,0.019845925906833137,0.7696060265678039,2.1772050846539375
MFSD12,0.10097149998561783,-0.008811210706305962,0.09216028927931187,0.2682649868652183
CXCR2,-0.17477295905345042,0.00978846421560738,-0.16498449483784303,-0.45633030146474707
MARVELD2,-0.01567345728893388,0.0017696892066622763,-0.013903768082271603,-0.030607558767860445
FASTK,-0.08810954510352434,0.023789916670061768,-0.06431962843346258,-0.17267186309740484
STK26,0.35026589029378274,0.0034766865650641098,0.35374257685884686,1.0053644918831783
MAL2,-0.1416689151387998,0.012973180837428742,-0.12869573430137107,-0.35407403756914285
NREP,0.2222032345283954,0.006139254264792765,0.22834248879318816,0.6520059227778399
